student_id,user_id,course_id,teacher_id,completion_rate,is_completed,avg_score,score_trend,total_events,days_active_on_course,days_since_last_activity,submission_count,late_submission_count,engagement_score,label_fault,refreshed_at
1,1,30,19,1.0000,t,60.13,,7,7,384,0,0,0.2667,0,2026-05-01 12:44:16.788+00
1,1,13,20,0.2200,f,52.20,,21,5,92,1,0,0.4113,1,2026-05-01 12:44:16.788+00
1,1,15,15,1.0000,t,69.99,,15,14,190,0,0,0.4688,0,2026-05-01 12:44:16.788+00
1,1,24,28,0.5279,t,67.47,,11,11,0,0,0,0.3834,0,2026-05-01 12:44:16.788+00
1,1,36,44,0.8685,t,60.35,,11,11,0,0,0,0.3623,0,2026-05-01 12:44:16.788+00
1,1,21,3,1.0000,t,64.82,,12,10,332,0,0,0.3381,0,2026-05-01 12:44:16.788+00
2,2,29,11,0.2034,t,64.92,0.0004,26,5,0,7,0,0.5031,0,2026-05-01 12:44:16.788+00
2,2,17,24,1.0000,t,71.06,,15,12,36,0,0,0.4012,0,2026-05-01 12:44:16.788+00
2,2,11,12,0.5909,f,54.64,,9,9,101,0,0,0.3222,1,2026-05-01 12:44:16.788+00
2,2,31,27,1.0000,t,69.25,,8,8,32,0,0,0.2833,0,2026-05-01 12:44:16.788+00
2,2,18,23,1.0000,t,71.06,,11,11,119,1,0,0.3960,0,2026-05-01 12:44:16.788+00
3,3,16,25,0.3256,f,34.92,,13,6,137,0,0,0.2798,1,2026-05-01 12:44:16.788+00
3,3,12,7,0.8023,t,50.35,,11,11,165,2,0,0.3332,1,2026-05-01 12:44:16.788+00
3,3,7,10,0.1915,t,51.05,-0.0670,22,6,0,1,0,0.4246,1,2026-05-01 12:44:16.788+00
3,3,35,34,1.0000,t,58.68,,10,10,133,0,0,0.3167,1,2026-05-01 12:44:16.788+00
3,3,19,16,0.9617,t,50.75,,8,7,138,0,0,0.2749,1,2026-05-01 12:44:16.788+00
3,3,25,33,0.1622,t,52.63,-0.0237,23,4,0,6,0,0.4281,1,2026-05-01 12:44:16.788+00
4,4,29,11,1.0000,t,62.21,,10,9,869,0,0,0.3107,0,2026-05-01 12:44:16.788+00
