student_id,user_id,enrollment_year,total_courses_enrolled,courses_completed,courses_abandoned,avg_score_overall,score_trend,total_active_days,days_since_last_activity,avg_weekly_events,avg_session_gap_days,late_submission_rate,label_at_fault,label_dropout,refreshed_at
1,1,2024,6,5,1,63.42,,55,0,3.08,2.57,0.0000,0,0,2026-05-01 12:44:16.788+00
2,2,2025,5,4,1,64.66,0.0004,40,0,3.45,2.50,0.0000,0,0,2026-05-01 12:44:16.788+00
3,3,2025,6,5,1,50.72,-0.0454,40,0,4.83,1.96,0.0000,1,0,2026-05-01 12:44:16.788+00
4,4,2022,7,5,2,51.97,,53,201,4.61,1.60,,1,0,2026-05-01 12:44:16.788+00
5,5,2026,3,2,1,48.68,-0.0369,1,0,74.00,0.00,0.0000,1,1,2026-05-01 12:44:16.788+00
6,6,2023,7,3,4,67.00,,72,136,3.56,1.95,0.0000,0,1,2026-05-01 12:44:16.788+00
7,7,2022,7,5,2,53.35,,46,421,4.32,2.39,,1,0,2026-05-01 12:44:16.788+00
8,8,2022,8,6,2,58.42,0.0186,74,0,4.50,1.68,0.0000,1,0,2026-05-01 12:44:16.788+00
9,9,2023,9,7,2,50.21,,73,0,1.82,3.68,0.5000,1,0,2026-05-01 12:44:16.788+00
10,10,2025,5,4,1,68.38,,44,0,3.71,2.01,0.0000,0,0,2026-05-01 12:44:16.788+00
11,11,2023,8,5,3,52.92,,62,231,2.26,3.48,0.0000,1,1,2026-05-01 12:44:16.788+00
12,12,2026,3,2,1,58.07,-0.0474,2,0,17.00,0.10,0.0000,1,1,2026-05-01 12:44:16.788+00
13,1,2022,9,7,2,71.23,,56,0,2.07,3.61,,0,0,2026-05-01 12:44:16.788+00
14,2,2023,6,4,2,61.98,,56,75,2.00,3.40,0.0000,1,1,2026-05-01 12:44:16.788+00
15,3,2026,5,5,0,71.95,-0.0103,3,0,48.00,0.05,0.0000,0,0,2026-05-01 12:44:16.788+00
16,4,2025,6,5,1,58.33,0.0141,41,0,6.59,1.60,0.0000,1,0,2026-05-01 12:44:16.788+00
17,5,2026,3,3,0,68.44,0.0117,2,0,26.50,0.07,0.0000,0,0,2026-05-01 12:44:16.788+00
18,6,2025,5,4,1,56.59,,36,0,3.23,2.36,0.0000,1,0,2026-05-01 12:44:16.788+00
19,7,2023,8,3,5,51.23,,65,16,3.46,1.93,,1,1,2026-05-01 12:44:16.788+00
20,8,2025,7,3,4,49.65,0.0222,40,0,4.32,1.97,0.0000,1,1,2026-05-01 12:44:16.788+00
21,9,2024,6,6,0,69.13,,62,0,1.94,3.55,0.0000,0,0,2026-05-01 12:44:16.788+00
22,10,2026,4,4,0,53.29,-0.0090,3,0,39.00,0.09,0.0000,1,0,2026-05-01 12:44:16.788+00
23,11,2024,6,3,3,69.46,,49,0,2.67,2.66,0.3333,0,1,2026-05-01 12:44:16.788+00
24,12,2026,5,5,0,75.02,,4,0,20.50,0.27,0.0000,0,0,2026-05-01 12:44:16.788+00
25,1,2026,7,6,1,66.44,-0.0259,4,0,57.50,0.07,0.0000,0,0,2026-05-01 12:44:16.788+00
26,2,2022,10,7,3,73.47,,84,0,2.04,4.42,,0,1,2026-05-01 12:44:16.788+00
27,3,2026,3,2,1,58.27,0.0483,1,0,39.00,0.01,0.0000,1,1,2026-05-01 12:44:16.788+00
28,4,2024,7,4,3,59.80,,54,0,3.26,2.09,0.0000,1,1,2026-05-01 12:44:16.788+00
29,5,2026,7,6,1,68.68,0.0225,2,0,83.50,0.02,0.0000,0,0,2026-05-01 12:44:16.788+00
30,6,2025,7,6,1,64.59,,65,12,2.74,3.65,0.0000,0,0,2026-05-01 12:44:16.788+00
31,7,2025,6,3,3,56.07,,45,0,3.08,2.65,,1,1,2026-05-01 12:44:16.788+00
32,8,2022,7,7,0,63.31,,64,0,1.68,4.26,,0,0,2026-05-01 12:44:16.788+00
33,9,2025,7,5,2,63.47,0.0154,51,0,3.27,2.68,0.0000,0,0,2026-05-01 12:44:16.788+00
34,10,2026,5,3,2,69.31,0.0332,3,0,58.00,0.05,0.0000,0,1,2026-05-01 12:44:16.788+00
35,11,2024,7,4,3,48.18,,47,167,2.24,3.89,0.0000,1,1,2026-05-01 12:44:16.788+00
36,12,2026,4,3,1,61.91,0.0413,1,0,67.00,0.00,0.0000,1,0,2026-05-01 12:44:16.788+00
37,1,2023,8,6,2,70.48,,84,58,2.09,3.42,,0,0,2026-05-01 12:44:16.788+00
38,2,2022,9,5,4,43.23,,75,15,2.60,2.40,,1,1,2026-05-01 12:44:16.788+00
39,3,2023,7,5,2,64.86,,56,311,2.71,2.99,0.0000,0,0,2026-05-01 12:44:16.788+00
40,4,2024,5,4,1,65.63,,46,0,1.85,4.28,,0,0,2026-05-01 12:44:16.788+00
41,5,2024,5,3,2,58.77,,46,5,3.31,1.92,0.0000,1,1,2026-05-01 12:44:16.788+00
42,6,2025,8,6,2,42.72,0.0744,50,0,4.61,2.39,0.0625,1,0,2026-05-01 12:44:16.788+00
43,7,2025,5,3,2,34.86,,34,0,2.43,3.22,,1,1,2026-05-01 12:44:16.788+00
44,8,2024,6,3,3,72.11,,55,142,4.19,1.76,,0,1,2026-05-01 12:44:16.788+00
45,9,2024,6,6,0,68.83,,52,0,1.51,4.02,0.0000,0,0,2026-05-01 12:44:16.788+00
46,10,2025,5,5,0,71.45,0.0056,55,0,3.65,2.23,0.0000,0,0,2026-05-01 12:44:16.788+00
47,11,2022,8,4,4,45.02,,52,225,5.51,1.24,0.0000,1,1,2026-05-01 12:44:16.788+00
48,12,2023,9,4,5,47.59,,76,72,2.62,2.88,,1,1,2026-05-01 12:44:16.788+00
49,1,2023,5,5,0,39.35,,48,410,2.00,3.71,,1,0,2026-05-01 12:44:16.788+00
50,2,2025,5,5,0,66.61,0.0661,33,0,3.39,2.45,0.0000,0,0,2026-05-01 12:44:16.788+00
51,3,2025,5,1,4,38.52,,36,0,2.75,2.59,,1,1,2026-05-01 12:44:16.788+00
52,4,2023,6,5,1,47.43,,59,88,2.61,2.30,,1,0,2026-05-01 12:44:16.788+00
53,5,2022,8,5,3,54.56,-0.1715,66,0,2.76,2.30,,1,1,2026-05-01 12:44:16.788+00
54,6,2024,7,1,6,55.03,,53,28,3.38,2.94,0.0000,1,1,2026-05-01 12:44:16.788+00
55,7,2025,8,6,2,48.11,,64,0,4.23,2.56,,1,0,2026-05-01 12:44:16.788+00
56,8,2022,9,7,2,44.17,,67,0,2.45,2.46,,1,0,2026-05-01 12:44:16.788+00
57,9,2022,8,6,2,48.40,,56,143,2.51,2.69,,1,0,2026-05-01 12:44:16.788+00
58,10,2024,9,6,3,54.29,-0.0379,67,0,4.29,1.66,0.0000,1,1,2026-05-01 12:44:16.788+00
59,11,2023,9,9,0,77.45,-0.0042,87,0,2.91,2.33,0.0000,0,0,2026-05-01 12:44:16.788+00
60,12,2023,8,8,0,51.92,,55,0,1.41,5.16,0.0000,1,0,2026-05-01 12:44:16.788+00
61,1,2024,7,7,0,59.67,,76,65,2.16,3.50,,1,0,2026-05-01 12:44:16.788+00
62,2,2022,11,10,1,54.54,,114,0,1.90,3.69,,1,0,2026-05-01 12:44:16.788+00
63,3,2022,10,9,1,67.93,,105,0,1.88,3.50,,0,0,2026-05-01 12:44:16.788+00
64,4,2024,8,7,1,53.37,,66,0,2.20,3.35,0.0000,1,0,2026-05-01 12:44:16.788+00
65,5,2024,5,3,2,48.40,,43,0,4.21,1.41,,1,1,2026-05-01 12:44:16.788+00
66,6,2022,8,6,2,56.70,,64,0,1.57,4.56,,1,0,2026-05-01 12:44:16.788+00
67,7,2025,7,6,1,57.92,,64,0,2.96,3.97,0.0000,1,0,2026-05-01 12:44:16.788+00
68,8,2024,7,6,1,52.61,,72,3,2.08,3.35,0.0000,1,0,2026-05-01 12:44:16.788+00
69,9,2023,9,3,6,58.80,,66,55,3.51,2.53,0.0000,1,1,2026-05-01 12:44:16.788+00
70,10,2022,8,6,2,57.20,-0.0471,61,0,3.30,1.88,0.0000,1,0,2026-05-01 12:44:16.788+00
71,11,2024,6,5,1,50.03,,49,0,1.75,4.17,,1,0,2026-05-01 12:44:16.788+00
72,12,2023,9,7,2,58.34,,99,7,3.65,1.77,,1,0,2026-05-01 12:44:16.788+00
73,1,2025,5,4,1,64.29,,43,0,2.96,2.54,0.0000,0,0,2026-05-01 12:44:16.788+00
74,2,2025,6,4,2,54.39,,46,0,2.50,4.10,0.0000,1,1,2026-05-01 12:44:16.788+00
75,3,2024,6,3,3,55.31,,35,0,3.84,1.68,0.0000,1,1,2026-05-01 12:44:16.788+00
76,4,2026,4,1,3,51.48,-0.0516,4,0,30.50,0.11,0.0000,1,1,2026-05-01 12:44:16.788+00
